replicate,flux_median_ratio,active_area_median_ratio,diversity_ratio,saturation_fraction,generic_distance_ratio,flux_median_ratio_pass,active_area_median_ratio_pass,diversity_ratio_pass,saturation_fraction_pass,generic_distance_ratio_pass,joint_gate_pass
39,1.4663180580361417,1.119119144318934,1.050427961425667,0.000633716581984375,7.15346987124413,True,True,True,True,True,True
40,1.2158732545083493,0.8482293503060153,1.010871574270034,0.000620365142890625,6.254811047741436,True,True,True,True,True,True
41,1.3846106351134928,0.9948497284897074,1.0443436443309868,0.00063323974590625,5.690015012614332,True,True,True,True,True,True
42,1.7465312863123381,1.3263390360027136,1.1418543715434517,0.0007195472709687499,9.765450608575259,True,True,True,True,False,False
43,1.367064209725241,0.9347825729591407,1.0854265148921776,0.0006537437412656249,7.650271582930417,True,True,True,True,True,True
44,1.6056364839643464,1.2236025092282967,1.1065120411756204,0.000639438627484375,9.210488177201798,True,True,True,True,False,False
45,1.5596469473226988,1.1119198737463036,1.0182965995952962,0.000666618347609375,8.12332605678171,True,True,True,True,False,False
46,1.4361354985957646,1.1628371589128554,1.087420356670108,0.000686645505078125,7.62901714549451,True,True,True,True,True,True
47,1.2715137452248746,0.9865115866501343,1.0411598774863724,0.000631809233546875,6.2055872482405725,True,True,True,True,True,True
48,1.4663673131536663,1.0601809505240285,1.0386942666767152,0.000623703004421875,7.840126630708103,True,True,True,True,True,True
49,1.4052490650988738,1.0458958801830671,1.0998215747476614,0.000683307646890625,7.854224487717374,True,True,True,True,True,True
50,1.4339858757415265,1.0503089461414667,1.0524766755479513,0.000691413879109375,7.163604132053755,True,True,True,True,True,True
51,1.5672352653497486,1.2220497181477055,1.0445420943316697,0.000595569610125,7.667539748755287,True,True,True,True,True,True
52,1.5540270259687021,1.26438049448508,1.0743571901368443,0.000561237335515625,8.184744189462664,True,True,True,True,False,False
53,1.362211958645386,1.0613701217264153,1.0793983703849213,0.00066375732446875,6.582272614442791,True,True,True,True,True,True
54,1.3402826828944943,0.9864253004536366,1.0524722418285506,0.00061702728084375,7.131163552393329,True,True,True,True,True,True
55,1.735064685028763,1.3659420732307146,1.1442631035479693,0.0006766319279687499,8.685951521324236,True,True,True,True,False,False
56,1.2573787965530305,0.8340015692902615,1.000337903887667,0.000586509704109375,5.9972729278820545,True,True,True,True,True,True
57,1.3010818197909482,0.9360568420617031,1.067288959568766,0.0006518363942031249,7.538595154441884,True,True,True,True,True,True
58,1.3649114648034153,1.070500897472335,1.0371298356507777,0.000587463378359375,7.07354827306189,True,True,True,True,True,True
59,1.381556134867813,1.0927419408116545,1.0536861929214094,0.000673294068,6.642900426686001,True,True,True,True,True,True
60,1.3989932144773154,1.1118143634018767,1.076496779408512,0.000623226164671875,7.428316106751398,True,True,True,True,True,True
61,1.381471937085258,0.9833047326402725,1.0106587623177836,0.000627517699921875,5.843247889033033,True,True,True,True,True,True
62,1.2592530142777585,0.9306666613266961,1.0056632869829172,0.0005941391012031249,5.830701905659354,True,True,True,True,True,True
63,1.4818968089624784,1.213853779130419,1.0850550584665382,0.000667095182484375,7.813494438266298,True,True,True,True,True,True
64,1.5342205009162309,1.1624318909937736,1.079434937416112,0.000676631926640625,7.440980042642646,True,True,True,True,True,True
65,1.6344114341235907,1.1817777878104496,1.1373633038396855,0.0007758140540624999,10.122516937130452,True,True,True,True,False,False
66,1.3838614092804524,1.0932989675833436,1.0737728119436007,0.00064420700109375,8.061647030250441,True,True,True,True,False,False
67,1.53830533562228,1.1569098422403126,1.1152891782699461,0.00065040588078125,9.41552692804275,True,True,True,True,False,False
68,1.4498836468495353,1.130497161056854,1.041265951217379,0.0006222724907656251,7.3405088017776645,True,True,True,True,True,True
69,1.4069486963056255,1.1294465844200658,1.0568914528131166,0.0006265640244999999,6.7421343340458755,True,True,True,True,True,True
70,1.4663525182102322,1.0318525016981406,1.0431112976794346,0.000680446623109375,6.772032446256479,True,True,True,True,True,True
