family,feature,real_n,synthetic_n,real_mean,synthetic_mean,real_median,synthetic_median,real_q05,real_q95,synthetic_q05,synthetic_q95,median_ratio,median_ratio_bootstrap,ratio_ci_low,ratio_ci_high,wasserstein,ks_statistic,ks_pvalue
hard_geometry,hemi_ux,248,128,-0.5521512691653225,-0.025899627521093743,-0.96119093,0.027983359,-0.9996170445,0.9913630295,-0.987847996,0.979576855,0.029113215831114845,0.029043230714127587,-0.5473931958675298,0.41622153253609634,0.527274755147253,0.4329637096774194,9.00861145553822e-15
hard_geometry,hemi_uy,248,128,-0.046039462124193554,0.07983321096875,-0.060686831999999996,0.164614165,-0.791890165,0.6373930539999999,-0.9163817510000001,0.9799759699999999,2.7125186729140847,2.8341803592413926,-2.473006851282393,16.984964592407742,0.24247946704707662,0.3001512096774194,3.158274641844439e-07
hard_geometry,log_sep,248,128,0.4103947658346775,0.370130884359375,0.41988312,0.38200124999999996,0.1637396155,0.6332951999999997,0.10802989,0.5933181949999999,0.9097799644815442,0.9056108786907017,0.8217441536562111,0.9741127543804247,0.040432174540826614,0.18447580645161288,0.005395102072860496
hard_geometry,log_strong_flux_density,248,128,3.2181328995161294,3.3806505796875,3.323785,3.4527862000000002,2.077337195,4.10291215,2.50397383,4.11657245,1.0388115356438519,1.0369379480209728,0.9810727538284743,1.087568234319207,0.1812497173185483,0.14440524193548387,0.05238835434224462
hard_geometry,has_bipole,248,128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
hard_pil,mean_grad,248,128,81.69853064112903,76.86441490625,84.20146,74.5575525,46.62919905,115.310065,57.368488649999996,98.85157515,0.8854662674495193,0.8864439351185123,0.8427812633347356,0.9427708165565082,9.37692411643145,0.2668850806451613,8.53653105891693e-06
hard_pil,rms_grad,248,128,109.28908920967743,110.86250782812499,111.76147,106.624683,61.05074045,154.52623549999998,74.6520295,156.57751399999998,0.9540379434880375,0.9566700837838653,0.8830042931549963,1.0334710049350788,5.867564978326613,0.09173387096774199,0.4437534098145636
hard_pil,top10_grad,248,128,243.4654431169355,259.8980788671875,250.024095,249.723995,130.3954115,355.001853,159.322595,397.94468249999994,0.9987997156834025,0.9982449597301231,0.9069881658513109,1.0881809701714866,16.953944928679437,0.0942540322580645,0.4103216653911799
hard_pil,frac_gt100,248,128,0.29232351695967745,0.20901983740625,0.30494118000000003,0.20653226,0.11137542425000001,0.43346554749999994,0.109818294,0.3087322845,0.6772855670067256,0.6799976345165211,0.6359940645786072,0.7331751729843523,0.08861765395967741,0.5118447580645161,9.488853287526091e-21
hard_pil,frac_gt250,248,128,0.043088790953225806,0.03697811748984375,0.0378646775,0.031850742,0.0,0.10132653299999995,0.00550035432,0.07220670624999999,0.8411729374956383,0.8621612749590407,0.6796296988051455,1.1583152368737777,0.011452543012928425,0.16532258064516125,0.017141022480471464
hard_pil,frac_gt500,248,128,0.001980818115685484,0.0088649994390625,0.0,0.0054935526500000005,0.0,0.012754374249999992,0.0,0.029732435599999992,5493552650.000001,5493552650.000001,3394678800.0000005,6922480465.000008,0.006884181323377017,0.49974798387096775,9.407919156806071e-20
hard_pil,pil_area_fraction,248,128,0.0240387455858871,0.0285177230890625,0.020172119500000002,0.025024414,0.0033813476100000004,0.05491638189999998,0.0097473145,0.060595702999999994,1.2405446041502974,1.2509281297950112,1.061316146133186,1.5078045286319592,0.004936525887752016,0.22177419354838707,0.00039290558417872295
hard_pil,has_pil,248,128,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016129032258064516,0.016129032258064516,1.0
