family,feature,real_median,synthetic_median,median_ratio,ratio_ci95_low,ratio_ci95_high,median_difference,real_groups,synthetic_groups,real_rows,synthetic_rows
generic,log_mean_abs,0.56851822,0.7697537750000001,1.3539650057301595,1.1876061077567825,1.547634753844163,0.20123555500000012,125,64,248,128
generic,log_p90_abs,0.9687153150000001,1.1658016500000001,1.203451243051732,1.0712854167403405,1.4609669927989963,0.19708633500000006,125,64,248,128
generic,log_p99_abs,2.5903949500000003,2.6442704,1.020798160527606,0.9637880045491043,1.0669572363640982,0.0538754499999996,125,64,248,128
generic,active_fraction,0.06402587900000001,0.07232666,1.12964727903228,0.9189160075394462,1.3717017995073533,0.008300780999999993,125,64,248,128
generic,strong_fraction,0.0150756835,0.015472412,1.026315788600895,0.796774847895902,1.2432574336400197,0.00039672850000000044,125,64,248,128
geometry,log_sep,0.41988312,0.38200124999999996,0.9097799644815442,0.8177735110549618,0.9842819379814726,-0.03788187000000004,125,64,248,128
geometry,log_strong_flux_density,3.323785,3.4527862000000002,1.0388115356438519,0.9757636150028696,1.1025930372712203,0.12900120000000026,125,64,248,128
pil,mean_grad,84.20146,74.5575525,0.8854662674495193,0.8423797469995785,0.9509866323464309,-9.643907499999997,125,64,248,128
pil,rms_grad,111.76147,106.624683,0.9540379434880375,0.8813639244221734,1.0414907205757777,-5.136786999999998,125,64,248,128
pil,top10_grad,250.024095,249.723995,0.9987997156834025,0.9105070921392293,1.0972967351605347,-0.30009999999998627,125,64,248,128
pil,frac_gt100,0.30494118000000003,0.20653226,0.6772855670067256,0.6281146781372909,0.7395202682912803,-0.09840892000000004,125,64,248,128
pil,pil_area_fraction,0.020172119500000002,0.025024414,1.2405446041502974,1.0336180626565752,1.5478016666891339,0.004852294499999996,125,64,248,128
