condition,training_steps,positive_rows,positive_groups,generic_ratio_to_real_p90,generic_gate_pass,hard_geometry_distance,hard_pil_distance,flux_median_ratio,active_area_median_ratio,diversity_ratio,saturation_fraction,final_denoise_loss,final_generic_loss,final_hj_loss,final_pil_loss
base,1200,489,125,7.680905810925166,True,0.5422608852386475,2.5184569358825684,1.514060073468855,1.1296472831267874,1.0871794620752695,0.00067138671875,0.007072714157402515,0.003818980883806944,0.0,0.0
hj,100,489,125,20.855039869786157,False,0.573249340057373,1.652261734008789,1.987374780331828,1.5495710177501036,1.2547413052027339,0.0007495880126953125,0.04252185672521591,0.0088662663474679,0.009223624132573605,0.0
pil,100,489,125,21.520933053359002,False,0.6190896034240723,4.1280903816223145,2.0059611161736,1.5305052408476107,1.2600835854053527,0.0009427070617675781,0.04264918342232704,0.006145238410681486,0.0,0.028834527358412743
hj_pil,100,489,125,20.08135240564046,False,0.5762472152709961,3.7286434173583984,1.9759346436988896,1.4690181103370714,1.2218660257057832,0.0008840560913085938,0.0427018478512764,0.0061952597461640835,0.00916617177426815,0.02858990803360939
