fold,seed,arm,pil_distance,generic_distance_ratio,tss_delta_vs_duplicate
1,2026,base,0.3085191249847412,0.6617491677374523,0.08026364097274424
1,2026,pil,0.17497563362121582,0.8759270981423376,0.13207398730747028
1,2026,pil_blur,7.381514549255371,3.18335057544188,-0.01877655203762313
1,2026,geometry_flip,0.17497563362121582,0.8759270981423376,0.053882060875189985
1,2026,block_shuffle,0.1320796012878418,0.8759270981423376,0.0675885942061924
1,31415,base,0.21787619590759277,0.7408594686241048,0.03239567125299392
1,31415,pil,0.07814311981201172,0.6936215133050004,0.028890365216175107
1,31415,pil_blur,7.263213634490967,2.7595739272053987,-0.03031521530096687
1,31415,geometry_flip,0.07814335823059082,0.6936215133050004,-0.018724103568244277
1,31415,block_shuffle,0.0877218246459961,0.6936215133050004,0.007788597702756916
2,2026,base,0.30477380752563477,0.9351405812794438,0.0063351282863478575
2,2026,pil,0.12473654747009277,1.0602525764776811,0.03498178650617678
2,2026,pil_blur,7.692645072937012,3.9210585923925936,-0.013085999366487133
2,2026,geometry_flip,0.12473678588867188,1.0602525764776811,-0.043197656002534
2,2026,block_shuffle,0.09919261932373047,1.0602525764776811,-0.02842888818498568
2,31415,base,0.1930856704711914,0.8985513972905096,0.006552898321190881
2,31415,pil,0.08807158470153809,1.0215485454667348,-0.048859676908457494
2,31415,pil_blur,7.979497909545898,3.6821041611873486,0.005780804561292374
2,31415,geometry_flip,0.08807134628295898,1.0215562809742613,0.040742793791574305
2,31415,block_shuffle,0.08020925521850586,1.0215588594767702,0.04052502375673106
3,2026,base,0.24534296989440918,0.9254887761001191,0.1258060470856901
3,2026,pil,0.10007214546203613,0.9146300567212757,0.10530588538125929
3,2026,pil_blur,8.135090827941895,3.324615634663139,0.08940604972576238
3,2026,geometry_flip,0.10007357597351074,0.9146341714311578,0.10065935806641091
3,2026,block_shuffle,0.08430647850036621,0.9146300567212757,0.05610813736296366
3,31415,base,0.27716898918151855,3.6356441122752665,-0.09908191484446671
3,31415,pil,0.1360466480255127,3.9576709178585245,-0.05476170047059281
3,31415,pil_blur,9.174924850463867,10.596213036727635,-0.0567153540006996
3,31415,geometry_flip,0.1360461711883545,3.9576709178585245,0.013589772359762664
3,31415,block_shuffle,0.1333467960357666,3.9576709178585245,-0.0780273379490597
4,2026,base,0.32799768447875977,2.5572109758651416,0.003281313575450584
4,2026,pil,0.17068815231323242,3.259946855154041,0.015671553636351643
4,2026,pil_blur,9.617481231689453,9.194879120520993,0.010487078187139898
4,2026,geometry_flip,0.17068839073181152,3.259946855154041,0.04834031159353713
4,2026,block_shuffle,0.15266919136047363,3.259946855154041,0.027221777421937543
4,31415,base,0.27587270736694336,1.754422184181928,0.019215372297838318
4,31415,pil,0.13026952743530273,1.9778525202650588,0.021157909934504948
4,31415,pil_blur,9.772744178771973,6.53394809507015,-0.012048983449054251
4,31415,geometry_flip,0.13026905059814453,1.9778525202650588,-0.03072622032051875
4,31415,block_shuffle,0.1277155876159668,1.9778525202650588,0.012429615823806528
