Rank_cutoff,post_2017_count,n,share,wilson_low,wilson_high,binom_p_calendar,binom_p_half
10,10,10,1.0,0.7224598312333834,1.0,5.766503906250002e-09,0.0009765625
25,24,25,0.96,0.804563530735409,0.992861658279027,2.7426478398821097e-18,7.748603820800781e-07
50,44,50,0.88,0.7619884080444455,0.9437903341018121,1.6286840234690405e-31,1.1930662399758738e-08
100,83,100,0.83,0.7454145258040872,0.8909911780459743,1.7958893527890674e-51,6.548999325035109e-12
