model,feature_count,auc_mean,auc_std,auc_min,auc_max,balanced_accuracy_mean
13 independent scalar proxies,13,0.9997645211930927,0.0005265466195054856,0.998822605965463,1.0,0.9874411302982733
16x16 coarse field,256,0.5887610221557201,0.10629904826931917,0.445839874411303,0.6840659340659341,0.7538378737936913
