feature,label,real_groups,synthetic_groups,real_median_boot_low,real_median_boot_high,synthetic_median_boot_low,synthetic_median_boot_high,ratio_boot_low,ratio_boot_high
unsigned_flux_proxy,mean $|B|$ [G],125,64,34.32221984863281,42.704322814941406,51.27703497663136,63.47855382326181,1.247105046240811,1.7286205269140167
signed_flux_imbalance,$|\langle B\rangle|/\langle|B|\rangle$,125,64,0.05974412774667144,0.08957316102460026,0.31188165414307484,0.46304207382715334,3.87911393084421,7.133073180577722
rms_field,RMS $B$ [G],125,64,119.82376775741577,138.39561462402344,153.92278979968245,181.95293061980217,1.1518068342219658,1.43966076978868
field_energy_proxy,$\langle B^2\rangle$ [G$^2$],125,64,14591.71932373047,19249.83095703125,23416.830335779978,32923.159662801256,1.2923808451321919,2.012380325143982
gradient_rms,RMS $|\nabla B|$ [G Mm$^{-1}$],125,64,36.29979085922241,40.37831497192383,51.46911642078933,59.57687258781625,1.3030701806812044,1.5724939322468592
high_gradient_fraction,fraction $|\nabla B|>100$ G Mm$^{-1}$,125,64,0.03448486328125,0.04254150390625,0.03209686279296875,0.041900634765625,0.7961415796084192,1.15457727622256
positive_components,positive strong-field components,125,64,58.0,70.0,42.0,49.0,0.6287824675324676,0.7966101694915254
negative_components,negative strong-field components,125,64,60.0,71.0,44.0,60.0,0.6615322580645161,0.9590329190904283
strong_component_count,total strong-field components,125,64,122.0,145.0,93.0,113.0,0.6735144112095253,0.8826193390452877
strong_centroid_separation,strong-polarity centroid separation [Mm],125,64,60.66409572051745,71.14028800247793,53.81843959661394,62.431597113008834,0.792840067478339,0.9885416268065523
spectral_centroid,Fourier wavenumber centroid [Mm$^{-1}$],125,64,0.05191406845738259,0.05740727956886638,0.06891486148596,0.07389726983930564,1.2333463547973056,1.3924740281486356
spectral_high_fraction,high-wavenumber power fraction,125,64,0.12051953673362732,0.14179428610950706,0.19454810310027515,0.21544136136849196,1.420994449137109,1.725507211620982
spectral_potential_proxy,half-space spectral potential proxy,125,64,67527.08310783867,103335.86577848656,83814.15603829898,125219.47339028049,0.966781155137189,1.7009893119552393
