sample_id,region_group_id,latitude_deg,unsigned_flux_proxy,signed_flux_imbalance,rms_field,field_energy_proxy,gradient_rms,high_gradient_fraction,positive_components,negative_components,strong_component_count,strong_centroid_separation,spectral_centroid,spectral_high_fraction,spectral_potential_proxy
H3999_20140418T045925Z,RG00732,-14.951169,46.497536,0.25179562,143.52011,20598.023,41.265453,0.04803466796875,140.0,48.0,188.0,51.8614585105107,0.05275382742785468,0.11754525,91805.2673451043
H8_20100505T015926Z,RG00004,40.919052,7.9562426,0.19393441,49.342525,2434.6848,18.46069,0.007568359375,14.0,12.0,26.0,30.024829644151318,0.07008834492359753,0.13314866,6264.41053043991
H3580_20140107T025925Z,RG00675,8.860238,20.893154,0.016678713,116.96283,13680.303,30.835566,0.02410888671875,17.0,29.0,46.0,52.44867050596843,0.044800067695719085,0.08628039,61839.45360220879
H4097_20140510T045925Z,RG00746,9.261667,54.710262,0.10834891,164.09479,26927.102,42.995728,0.05145263671875,82.0,86.0,168.0,49.318320220242605,0.0434485478016576,0.084983744,147542.6954322282
H8064_20220315T025923Z,RG01455,23.689449,43.853836,0.035433177,126.35349,15965.205,37.954224,0.04010009765625,72.0,66.0,138.0,122.32801326416346,0.05343707044708947,0.12981139,104035.137366899
H8086_20220328T095923Z,RG01462,-19.729427,13.257586,0.039741743,58.76479,3453.3003,22.291409,0.01361083984375,29.0,32.0,61.0,73.90436325915539,0.08783046918144381,0.27387118,12048.550671917832
H4874_20141201T005925Z,RG00822,-19.976057,49.392853,0.066033624,183.90755,33821.984,39.747868,0.04254150390625,66.0,76.0,142.0,80.64419873261211,0.03340312879793444,0.06305463,226562.25953751119
H5127_20150203T105925Z,RG00870,7.257952,43.376488,0.029370556,116.384094,13545.257,41.592148,0.0452880859375,102.0,91.0,193.0,131.3019207244107,0.07913194210681379,0.24594684,69150.74174465486
H5298_20150315T125925Z,RG00886,-17.871042,46.900055,0.066059195,143.04767,20462.637,43.50573,0.0411376953125,112.0,85.0,197.0,62.15937160539878,0.05399545573344741,0.11854908,97628.3306257781
H2491_20130217T035925Z,RG00478,12.379428,6.809947,0.024338577,52.83614,2791.6577,20.641527,0.00933837890625,16.0,11.0,27.0,34.51845209814589,0.08008851803865302,0.19230248,5934.962606165818
H6206_20151228T105924Z,RG01025,-21.09815,46.14534,0.032703422,163.42157,26706.607,46.551117,0.05560302734375,51.0,72.0,123.0,96.69970887047586,0.04929906700543259,0.10331774,148095.19670233256
H892_20110928T045926Z,RG00201,13.190362,64.2716,0.042089302,214.91908,46190.21,54.764427,0.06329345703125,131.0,40.0,171.0,84.70437832564176,0.03830406938144014,0.078123525,318792.65031798993
H8155_20220420T235923Z,RG01476,16.709757,80.49152,0.2099415,192.57936,37086.812,49.68242,0.0653076171875,127.0,127.0,254.0,84.4149303386919,0.04686203202399621,0.10354868,212702.951066255
H3291_20131024T095925Z,RG00624,6.905989,65.141975,0.06477882,194.34523,37770.07,54.75505,0.0731201171875,113.0,78.0,191.0,94.25191472501167,0.04922741244082022,0.11906182,227839.71609072105
H3688_20140201T065925Z,RG00691,9.914994,43.935165,0.0034294268,122.92274,15110.0,40.059322,0.04052734375,83.0,83.0,166.0,97.5239662234567,0.0643186752180298,0.16965008,80171.4666341976
H393_20110305T185926Z,RG00093,24.599306,61.267086,0.035094254,174.00517,30277.799,43.967297,0.05010986328125,85.0,92.0,177.0,36.0240345304458,0.04141845479095199,0.08168684,177112.21093230168
H4639_20141009T085925Z,RG00794,-17.954618,16.616104,0.29171425,48.51185,2353.3994,19.021313,0.00665283203125,43.0,86.0,129.0,131.0817464047213,0.09393673852894667,0.31088984,9179.704505959191
H1807_20120630T185926Z,RG00354,-16.078829,42.325676,0.10671611,149.31635,22295.371,38.685425,0.040771484375,67.0,62.0,129.0,28.777400960895463,0.04331763990983801,0.09215272,122750.05142350476
H4781_20141110T015925Z,RG00814,15.46206,42.189133,0.24267471,138.10144,19072.01,45.68113,0.04620361328125,63.0,109.0,172.0,77.4230577259681,0.062069447472206184,0.15413405,96783.2555739338
H495_20110415T025926Z,RG00115,13.19936,46.235447,0.026993548,139.39865,19431.984,43.60221,0.05169677734375,53.0,87.0,140.0,87.44201104752933,0.06160400401019334,0.17370427,115956.02878469888
H4097_20140509T195925Z,RG00746,9.341239,55.63446,0.13668542,164.38475,27022.348,42.52728,0.04998779296875,67.0,96.0,163.0,49.32034391413116,0.04292331791266018,0.086824805,151118.67533653436
H4225_20140615T225925Z,RG00765,-18.682499,25.069473,0.13244675,75.715614,5732.854,27.758184,0.01806640625,69.0,72.0,141.0,42.340406096624136,0.08068870020415164,0.23881935,17053.847918603962
H6327_20160213T145924Z,RG01046,12.348579,40.582565,0.028465083,120.89779,14616.275,41.866898,0.03826904296875,89.0,66.0,155.0,22.56388413257585,0.07017768207432315,0.17462689,55814.21426529934
H6027_20151021T135924Z,RG01000,9.33309,42.87623,0.024188377,136.80344,18715.18,39.817856,0.0404052734375,73.0,88.0,161.0,108.48951831019035,0.05169756568630577,0.12315059,111581.055014448
H1806_20120704T155925Z,RG00353,16.95846,24.025055,0.20477474,74.86852,5605.2954,27.69824,0.018798828125,65.0,84.0,149.0,79.18073559427208,0.08652732761007517,0.27275193,20051.107332634274
H1997_20120830T105925Z,RG00385,-12.095155,3.4732523,0.02941448,36.204018,1310.731,13.692415,0.00457763671875,9.0,6.0,15.0,36.842670257123196,0.07653963755346699,0.20835064,3007.1684016037248
H1722_20120606T155926Z,RG00343,13.085894,51.113346,0.37894046,121.81246,14838.275,43.911694,0.0504150390625,74.0,156.0,230.0,53.33779225272243,0.078890263353644,0.25070065,78324.68188055916
H3740_20140215T155925Z,RG00697,-11.161493,42.895668,0.18948963,133.61212,17852.197,39.468346,0.04241943359375,92.0,67.0,159.0,76.03405208725044,0.05518724173859686,0.14299014,104240.25052739681
H3686_20140205T165925Z,RG00690,-12.352029,89.44525,0.16874965,241.6256,58382.93,64.04541,0.0802001953125,134.0,117.0,251.0,13.895124782749964,0.044982476349239846,0.096195996,266357.7985621423
H495_20110415T165926Z,RG00115,13.015197,49.634647,0.009437379,150.56676,22670.35,44.517498,0.0504150390625,48.0,72.0,120.0,87.54666600382374,0.055228617723212595,0.1423742,136439.3992712856
