Breakpoint,AIC,Adj. R2,Pre-break slope (s/yr),Post-break slope (s/yr),Slope-change p
2014,179.01873693250525,0.9791134138075561,-7.933543607227415,-19.032438315410324,3.3346604271574275e-05
2015,180.22413218082957,0.9777453939844248,-8.02311345922659,-19.90155574582958,5.617418368924969e-05
2016,180.94076055553143,0.9768899801781527,-8.071242945737838,-21.150171941813383,7.664145250099466e-05
2017,182.09683579978082,0.9754401659216145,-8.14426287992524,-22.543721853270203,0.00012665305180881495
2018,183.86634351948803,0.9730429641781743,-8.254978692351846,-24.001328120192944,0.00027406421254396786
2019,185.54346319343202,0.9705553040809306,-8.3701411182512,-25.78723614545966,0.00057195936784429
2020,185.56663774713044,0.9705193680808019,-8.39972822178911,-29.239099153515873,0.0005778221605807747
