metric,1991,2024,absolute_change,percent_change
Ace rate per 100 service points,5.027813393630367,7.927681077115036,2.8998676834846693,57.676517731514295
Serve points won (%),61.03053230891792,63.94852365101539,2.917991342097473,4.781199232094997
Double-fault rate per 100 service points,3.672121011547463,3.3931362104486458,-0.2789848010988174,-7.597374929135323
Match-weighted height (cm),183.99736444509028,187.322022273615,3.324657828524721,1.8069051361422557
