Model,Term,Estimate (s/yr),SE,95% CI low,95% CI high,p-value,AIC,Adj. R2
Linear frontier,Year,-9.495766137797062,0.5618046358214621,-10.681070310152156,-8.310461965441968,4.591039169565861e-12,198.0507418341562,0.9405324878862932
Segmented frontier,Pre-2017 slope,-8.14426287992524,0.45049058465345354,-9.099260257581378,-7.1892655022691025,4.513922393815351e-12,182.09683579978082,0.9754401659216145
Segmented frontier,2017 slope change,-14.399458973344963,2.870569317199167,-20.484794080657416,-8.31412386603251,0.00012665305180881495,182.09683579978082,0.9754401659216145
